open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1729969200000,66956.0,67078.58,66956.0,67038.05,15.37343,1729970999999,1030438.582211,2087,8.21703,550710.0501779,0
1729971000000,67038.04,67110.72,66986.51,67097.99,13.99172,1729972799999,938136.9483454,1334,5.44423,364971.5115656,0
1729972800000,67100.0,67281.33,67060.0,67279.99,37.13433,1729974599999,2495626.8349379,3032,25.50133,1714088.4163299,0
1729974600000,67279.99,67371.19,67146.65,67185.82,25.70584,1729976399999,1728445.7217345,1866,15.75963,1059729.3073735,0
1729976400000,67185.82,67193.97,67118.11,67118.12,11.73699,1729978199999,788151.0448089,1844,3.81276,256022.2374399,0
1729978200000,67116.91,67191.99,67018.98,67096.01,14.3515,1729979999999,962794.7990409,1649,4.85888,326009.6837925,0
1729980000000,67096.01,67160.0,67026.01,67065.98,11.97801,1729981799999,803630.2826671,1056,5.5884,374885.1196483,0
1729981800000,67065.98,67129.29,67052.51,67053.28,14.19169,1729983599999,952085.473915,970,5.27195,353691.6695857,0
1729983600000,67053.27,67067.19,67010.63,67044.0,13.16608,1729985399999,882613.6112184,1422,4.87044,326483.0852697,0
1729985400000,67043.99,67076.0,67010.62,67018.0,4.82562,1729987199999,323472.1353205,711,2.11972,142086.131423,0
1729987200000,67018.0,67044.0,66930.85,66990.25,11.52586,1729988999999,771974.4059599,2395,3.59293,240623.5059178,0
1729989000000,66995.98,67006.0,66893.7,66938.25,8.43658,1729990799999,564814.2853293,903,2.99904,200794.0998528,0
1729990800000,66938.25,66939.98,66856.36,66904.06,8.29363,1729992599999,554758.0011351,1313,3.24383,216969.0289113,0
1729992600000,66911.04,67046.56,66880.0,66995.13,11.40983,1729994399999,764063.5273414,844,7.41184,496354.7132348,0
1729994400000,66995.12,67032.68,66954.52,66954.52,5.77913,1729996199999,387153.3738843,531,2.36513,158437.8825663,0
1729996200000,66954.51,66998.0,66947.77,66968.45,5.18746,1729997999999,347381.065852,572,3.26649,218731.9652213,0
1729998000000,66976.0,67106.3,66917.08,67106.3,6.54464,1729999799999,438626.1269477,580,3.6997,247995.7244144,0
1729999800000,67113.55,67227.58,67072.69,67204.25,16.30021,1730001599999,1094539.2335782,1130,9.26971,622378.8059105,0
1730001600000,67204.99,67228.84,67132.41,67152.07,14.79614,1730003399999,993871.0561605,1132,6.0163,404092.942691,0
1730003400000,67153.48,67153.48,67037.19,67071.04,11.73253,1730005199999,787126.9868332,1890,3.92809,263522.7359431,0
1730005200000,67071.05,67122.74,67059.26,67109.05,8.40215,1730006999999,563776.6124303,1036,2.66651,178888.7997603,0
1730007000000,67109.05,67135.98,67064.01,67104.52,6.91586,1730008799999,464095.1558444,782,3.09459,207654.9907516,0
1730008800000,67104.52,67104.53,67048.5,67067.27,5.62741,1730010599999,377456.1268379,597,2.62934,176347.062018,0
1730010600000,67067.26,67107.19,67042.02,67107.18,8.44597,1730012399999,566430.5404251,898,4.53555,304170.0809822,0
1730012400000,67107.18,67154.31,67095.7,67110.02,9.32636,1730014199999,625951.3945312,1006,2.62655,176270.3166161,0
1730014200000,67110.02,67139.99,67099.66,67117.99,7.41178,1730015999999,497467.9442236,793,3.58187,240395.3579747,0
